2012-02-10 01:09:57,476 [1] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=Lilo.Server; AppPath=D:\Server\Photon3\deploy\Lilo.MmoServer
2012-02-10 01:12:23,554 [6] INFO  Lilo.MmoServer.MmoPeer - DBServerAddress: 127.0.0.1:27017
2012-02-10 01:12:23,554 [6] INFO  Lilo.MmoServer.MmoPeer - DBUserName: admin, DBPassword: manglayang2010
2012-02-10 01:12:28,288 [8] INFO  Lilo.MmoServer.MmoPeer - Logging In...
2012-02-10 01:12:30,444 [8] INFO  Lilo.MmoServer.MmoPeer - Auth: OK
2012-02-10 01:12:31,241 [8] INFO  Lilo.MmoServer.MmoPeer - Level Size (1000, 1000), Tile (10, 10)
2012-02-10 01:12:31,241 [8] INFO  Lilo.MmoServer.MmoPeer - =====> fogMode: 
2012-02-10 01:13:06,757 [6] INFO  Lilo.MmoServer.MmoPeer - DBServerAddress: 127.0.0.1:27017
2012-02-10 01:13:06,757 [6] INFO  Lilo.MmoServer.MmoPeer - DBUserName: admin, DBPassword: manglayang2010
2012-02-10 01:13:10,226 [9] INFO  Lilo.MmoServer.MmoPeer - Logging In...
2012-02-10 01:13:10,241 [9] INFO  Lilo.MmoServer.MmoPeer - Auth: OK
2012-02-10 01:13:10,351 [9] INFO  Lilo.MmoServer.MmoPeer - Level Size (1000, 1000), Tile (10, 10)
2012-02-10 01:13:10,351 [9] INFO  Lilo.MmoServer.MmoPeer - =====> fogMode: 
2012-02-10 01:13:12,726 [9] INFO  Lilo.MmoServer.MmoPeer - Create World
2012-02-10 01:13:12,929 [8] INFO  Lilo.MmoServer.MmoPeer - View Distance 10, 10
2012-02-10 01:17:18,038 [6] INFO  Lilo.MmoServer.MmoPeer - DBServerAddress: 127.0.0.1:27017
2012-02-10 01:17:18,038 [6] INFO  Lilo.MmoServer.MmoPeer - DBUserName: admin, DBPassword: manglayang2010
2012-02-10 01:17:22,944 [9] INFO  Lilo.MmoServer.MmoPeer - Logging In...
2012-02-10 01:17:22,960 [9] INFO  Lilo.MmoServer.MmoPeer - Auth: OK
2012-02-10 01:17:23,054 [8] INFO  Lilo.MmoServer.MmoPeer - Level Size (1000, 1000), Tile (10, 10)
2012-02-10 01:17:23,054 [8] INFO  Lilo.MmoServer.MmoPeer - =====> fogMode: 
2012-02-10 01:17:25,507 [11] INFO  Lilo.MmoServer.MmoPeer - View Distance 10, 10
2012-02-10 01:17:27,179 [6] INFO  Lilo.MmoServer.MmoPeer - DBServerAddress: 127.0.0.1:27017
2012-02-10 01:17:27,179 [6] INFO  Lilo.MmoServer.MmoPeer - DBUserName: admin, DBPassword: manglayang2010
2012-02-10 01:17:27,616 [8] INFO  Lilo.MmoServer.MmoPeer - Logging In...
2012-02-10 01:17:27,632 [8] INFO  Lilo.MmoServer.MmoPeer - Auth: OK
2012-02-10 01:17:27,694 [11] INFO  Lilo.MmoServer.MmoPeer - Level Size (10000, 10000), Tile (20, 20)
2012-02-10 01:17:27,694 [11] INFO  Lilo.MmoServer.MmoPeer - =====> fogMode: 
2012-02-10 01:17:34,976 [6] INFO  Lilo.MmoServer.MmoPeer - DBServerAddress: 127.0.0.1:27017
2012-02-10 01:17:34,976 [6] INFO  Lilo.MmoServer.MmoPeer - DBUserName: admin, DBPassword: manglayang2010
2012-02-10 01:17:35,038 [8] INFO  Lilo.MmoServer.MmoPeer - Authenticating...
2012-02-10 01:17:35,054 [8] INFO  Lilo.MmoServer.MmoPeer - Auth: OK
2012-02-10 01:17:35,194 [11] INFO  Lilo.MmoServer.MmoPeer - Level Size (1000, 1000), Tile (10, 10)
2012-02-10 01:17:35,194 [11] INFO  Lilo.MmoServer.MmoPeer - =====> fogMode: 
2012-02-10 01:17:37,679 [9] INFO  Lilo.MmoServer.MmoPeer - Create World
2012-02-10 01:17:37,819 [9] INFO  Lilo.MmoServer.MmoPeer - View Distance 10, 10
2012-02-10 01:17:55,163 [6] INFO  Lilo.MmoServer.MmoPeer - DBServerAddress: 127.0.0.1:27017
2012-02-10 01:17:55,163 [6] INFO  Lilo.MmoServer.MmoPeer - DBUserName: admin, DBPassword: manglayang2010
2012-02-10 01:17:55,210 [9] INFO  Lilo.MmoServer.MmoPeer - Authenticating...
2012-02-10 01:17:55,226 [9] INFO  Lilo.MmoServer.MmoPeer - Auth: OK
2012-02-10 01:17:55,241 [9] INFO  Lilo.MmoServer.MmoPeer - Level Size (10000, 10000), Tile (20, 20)
2012-02-10 01:17:55,241 [9] INFO  Lilo.MmoServer.MmoPeer - =====> fogMode: 
2012-02-10 01:18:30,773 [9] INFO  Lilo.MmoServer.MmoPeer - Create World
2012-02-10 01:18:32,991 [11] INFO  Lilo.MmoServer.MmoPeer - View Distance 20, 20
2012-02-10 01:18:43,601 [9] INFO  Lilo.MmoServer.MmoPeer - View Distance 20, 20
2012-02-10 01:19:26,038 [10] INFO  Lilo.MmoServer.MmoPeer - DBServerAddress: 127.0.0.1:27017
2012-02-10 01:19:26,038 [10] INFO  Lilo.MmoServer.MmoPeer - DBUserName: admin, DBPassword: manglayang2010
